ecg,ecg2,ecg3,rrIntervalList
5878.784,11807.744,3348.736,0.745
5826.048,11726.848,3272.192,1.505
5788.16,11687.68,3283.712,2.26
5772.032,11693.824,3379.2,3.01
5757.184,11660.288,3369.472,3.75
5723.136,11590.144,3268.864,4.5600000000000005
5690.88,11556.352,3262.976,5.430000000000001
5693.184,11578.88,3360.256,6.325000000000001
5699.072,11568.64,3339.52,7.155000000000001
5676.288,11517.184,3241.984,8.005
5667.072,11511.552,3267.584,8.875
5679.872,11561.728,3369.216,9.705
5693.696,11564.032,3355.136,0.87
5670.656,11501.312,3250.432,1.655
9615.872,8718.08,4036.096,2.45
9651.712,8701.696,4056.064,3.2600000000000002
9668.864,8813.824,4053.76,4.04
9663.488,8860.16,4014.08,4.785
9679.104,8773.888,4028.672,5.525
9747.2,8862.208,3997.184,6.235
9697.792,8864.512,3969.536,6.945
9645.824,8735.232,3970.048,7.675000000000001
9690.368,8695.808,3963.648,8.41
9658.112,8764.416,3959.808,9.17
9553.152,8775.424,3990.016,0.76
9487.616,8700.928,4073.984,1.545
9532.16,8638.208,4051.712,2.33
9647.104,8712.96,3918.336,3.15
9651.712,8754.432,3876.096,3.935
9579.264,8705.792,3976.192,4.73
9621.504,8669.696,3968.512,5.550000000000001
9697.024,8735.232,3862.528,6.32
9687.296,8735.744,3785.728,7.085
9630.208,8682.496,3868.672,7.87
9650.688,8683.776,3941.888,8.63
9737.216,8804.608,3876.352,9.4
9681.92,8796.928,3830.528,0.765
9539.328,8679.424,3940.608,1.51
9513.728,8593.408,3959.808,2.24
9649.152,8667.648,3795.2,2.96
9762.56,8737.28,3667.456,3.65
9775.616,8710.4,3726.336,4.359999999999999
9774.336,8678.912,3781.888,5.055
9776.896,8780.032,3774.208,5.72
9758.72,8853.76,3774.72,6.395
9757.952,8799.232,3803.136,7.055
9783.552,8716.544,3780.608,7.705
9781.248,8751.104,3710.72,8.345
9711.872,8751.104,3683.584,8.96
9671.424,8663.04,3709.952,9.585
9727.488,8591.872,3664.384,0.76
9752.32,8645.12,3599.104,1.495
9695.488,8684.8,3619.328,2.19
9701.376,8633.088,3650.304,2.88
9736.96,8548.352,3606.016,3.59
9726.72,8619.264,3592.192,4.3149999999999995
9687.552,8706.56,3634.432,5.119999999999999
9659.136,8674.048,3711.232,5.9799999999999995
9666.816,8620.8,3727.872,6.904999999999999
9698.816,8676.352,3653.888,7.799999999999999
9669.888,8697.6,3627.776,8.659999999999998
9573.12,8620.8,3724.8,9.564999999999998
9493.248,8527.104,3790.336,0.82
9466.112,8549.376,3743.488,1.5899999999999999
9539.84,8574.464,3612.672,2.3899999999999997
9635.072,8527.616,3553.28,3.2049999999999996
9705.728,8515.072,3541.504,3.9849999999999994
9728.512,8601.6,3511.808,4.81
9726.464,8658.432,3485.184,5.67
9721.344,8619.008,3527.424,6.54
9726.208,8571.904,3564.032,7.34
9706.752,8652.288,3575.04,8.195
9629.952,8721.408,3634.176,9.08
9603.072,8730.112,3769.088,9.885
9683.2,8727.808,3794.432,0.705
9803.264,8839.168,3691.008,1.45
9964.032,8959.488,3527.424,2.21
10268.672,9165.824,3382.528,2.99
10605.568,9615.616,3281.408,3.7550000000000003
10834.944,10202.88,3160.832,4.4750000000000005
10775.04,10471.424,3082.752,5.170000000000001
10430.208,10117.376,3089.408,5.880000000000001
10069.248,9363.968,3058.688,6.575000000000001
9825.024,8870.912,3063.04,7.250000000000001
9806.336,8712.704,3085.312,7.895000000000001
9819.136,8624.128,3219.2,8.535000000000002
9784.064,8611.072,3380.224,9.190000000000001
9728.768,8738.56,3486.464,9.885000000000002
9679.36,8817.92,3546.368,0.67
9665.792,8755.968,3594.496,1.34
9679.36,8658.944,3571.712,2.005
9667.84,8691.712,3526.656,2.655
9655.296,8753.92,3529.728,3.32
9654.784,8706.304,3565.312,4.015
9673.984,8635.136,3555.072,5.805
9677.312,8712.192,3544.576,6.494999999999999
9684.736,8787.2,3518.976,7.1899999999999995
9704.448,8732.928,3518.208,7.864999999999999
9715.968,8667.136,3530.24,8.524999999999999
9702.656,8746.496,3525.376,9.165
9692.16,8792.832,3479.04
9707.008,8732.16,3481.856
9746.176,8694.016,3485.696
9756.416,8780.544,3463.168
9728.256,8825.344,3459.328
9718.528,8760.064,3487.744
9734.912,8694.528,3494.144
9743.36,8764.16,3462.656
9743.104,8823.296,3424.512
9750.528,8765.44,3433.728
9788.928,8720.384,3424.768
9779.968,8786.944,3396.608
9726.976,8810.496,3386.368
9739.008,8746.752,3389.696
9813.504,8712.704,3338.752
9851.648,8805.632,3281.408
9836.8,8872.704,3273.984
9856.512,8829.44,3290.112
9911.552,8795.648,3274.496
9946.88,8878.08,3210.24
9958.144,8937.984,3161.856
9999.36,8912.128,3168.512
10039.808,8875.264,3167.232
10041.6,8950.016,3133.44
10027.776,9004.8,3110.912
10091.776,9007.872,3141.888
10132.224,8966.4,3160.064
10050.56,8971.008,3162.88
