ecg,ecg1,ecg3,rrIntervalList
4428.032,8286.208,8025.6,1.12
4333.312,8123.904,8076.544,1.375
4322.304,8156.16,8023.808,2.11
4447.232,8310.528,7995.136,2.365
4340.224,8137.472,8051.712,3.22
4332.544,8149.76,8070.912,3.48
4420.608,8314.112,8012.288,4.205
4409.088,8285.952,8008.96,4.47
4308.736,8116.992,8063.232,5.15
4311.552,8144.128,8055.04,5.405
4412.672,8318.976,7997.44,6.29
4419.328,8302.848,7987.2,6.555
4315.648,8130.048,4194.304,7.48
4700.928,9097.216,7756.544,7.75
4574.72,8921.6,7820.032,8.43
4584.96,8977.152,7817.472,8.685
4700.928,9143.808,7756.8,
4694.272,9090.048,7761.664,
4570.368,8918.784,7818.752,
4574.208,8967.936,7824.896,
4699.904,9142.016,7764.48,
4680.704,9081.856,7763.712,
4561.408,8910.336,7829.76,
4580.608,8971.52,7821.312,
4702.464,9143.04,7756.544,
4685.312,9082.112,7763.968,
4580.608,8924.16,7811.584,
4610.816,8996.608,7798.528,
4723.712,9163.264,7739.648,
4691.2,9094.656,7746.56,
4573.44,8928.256,7816.96,
4598.272,8992,7830.272,
4709.12,9155.328,7770.624,
4684.288,9097.472,7754.752,
4578.56,8945.664,7813.632,
4601.088,9012.224,7815.424,
4717.824,9176.064,7770.368,
4692.224,9100.8,7790.592,
4580.608,8941.056,7846.912,
4610.048,9021.696,7841.28,
4726.528,9192.192,7778.048,
4697.6,9115.136,7776.512,
4606.72,9027.072,7827.968,
4711.936,9180.16,7765.504,
4678.656,9092.352,7769.856,
4569.088,8928.512,7833.088,
4592.128,8995.84,7829.76,
4698.624,9146.112,7788.8,
4672.768,9066.24,7816.448,
4567.808,8908.8,7871.232,
4596.992,8992.512,7843.584,
4710.912,9155.584,7775.232,
4686.848,9082.624,7779.072,
4567.296,8920.576,7840,
4584.448,8998.912,7837.44,
4701.44,9166.08,7765.76,
4687.872,9093.632,7770.88,
4585.216,8924.928,7828.992,
4617.728,8994.816,7823.872,
4730.368,9158.656,7773.184,
4707.328,9099.008,7783.168,
4599.808,8952.32,7829.504,
